1111,radiolabel,fname,lname,address1,address2,city,state,zip,country,email,phone,dob,age,gender,tsize,dso,regNumber,bibNumber,memNumber,ipcNumber,teamName,hcName,hcPhone,hcEmail,classified,coachPresence,archery,fencing,field,swim,tableTennis,teams,track,weightlifting,other
Athlete,"Denton Cline","Lee Pope","799 West Old Drive","Est totam nulla cup","Dolore qui maiores n",OR,66321,USA,tipoba@mailinator.com,25,1983-09-27,7,female,cLarge,amb,595,441,113,653,"Alan Howe","Mohammad Knox",88,lofixabemy@mailinator.com,Yes,No,0,1,1,0,0,1,1,0,0
Head_Coach,"Erich Hensley","Kareem Parker","882 Milton Freeway","Fuga Nulla libero e","Sit dolore et iste",DE,51106,USA,lamuv@mailinator.com,226675-5936,2002-12-28,52,male,xxl,ot,910,106,801,226,"Halee Wilcox","Hermione Owen",97,jucyz@mailinator.net,Yes,Yes,0,1,1,1,0,1,1,0,0
Athlete,"Keiko Potter","Quinn Goodman","93 South Nobel Extension","Reiciendis deserunt","Fugiat maiores nisi",NJ,70627,USA,xotoguda@mailinator.com,97,1977-01-26,15,other,cMedium,ot,992,48,401,319,"Lucian Peterson","Jemima Tanner",83,jotyjo@mailinator.net,Yes,Yes,0,0,0,0,0,0,0,0,0
1115,Coach,Dacey,AbC,"70 Rocky Hague Court","Dolores dolores recu","Esse laboris placeat",MT,67678,USA,naxuno@mailinator.com,37,2002-05-10,59,male,xl,ds,249,991,804,563,"Gemma Harrington","Marny Bentley",92,sefafe@mailinator.net,No,No,1,1,1,1,1,1,1,1,1
1110,Athlete,Norman,Emerson,"87 West New Boulevard","Modi nobis quis maxi","Quos aut minim aut m",MT,68909,USA,tagogabywy@mailinator.com,31,1978-08-26,31,other,large,usatif,300,762,544,493,"Kathleen Carrillo","Heather Gibson",42,kakup@mailinator.net,0,0,1,1,,1,1,,1,,1
1114,Official,Reagan,Gallegos,"349 East Hague Court","Assumenda illo beata","Repudiandae ut quis",NY,44426,USA,cefizykufu@mailinator.com,72,2011-11-06,84,female,cLarge,ds,94,533,624,183,"Jaime Haynes","Xander Knowles",69,doxo@mailinator.com,1,1,,,,,,,,,
1118,Athlete,Macy,Guthrie,"25 East Second Freeway","Fuga Proident repe","Sint facere perferen",AR,37754,USA,dipen@mailinator.net,10,2017-03-01,81,other,cXL,wc,905,845,268,473,"Ezra Lara","Naomi Odom",30,sowuruh@mailinator.com,0,0,1,,1,1,,1,1,,
1112,Coach,Quinn,Singleton,"55 White Old Boulevard","Iusto totam repudian","Libero aut sed dicta",IN,12561,USA,guhefor@mailinator.com,68,1998-04-10,64,male,xl,id,306,203,41,974,"Igor Forbes","Beck Odom",91,tunib@mailinator.com,1,0,1,,1,1,1,1,1,,
1156,Support_Staff,Zenaida,Tyler,"86 Fabien Boulevard","Rerum aute soluta es","Nisi voluptate eum f",KS,12822,USA,lyze@mailinator.net,54,1988-11-15,32,female,cXL,sci,559,254,752,940,"Nathan Vance","Drew Jacobs",32,turivyn@mailinator.com,0,0,,,,,1,1,,,
1134,Athlete,Patience,Zeta,"46 North Milton Lane","Sit vero nemo sed q","Ullamco inventore vi",IA,70518,USA,qapa@mailinator.com,9,1996-04-03,31,female,cSmall,amb,454,602,474,341,"Neil Burton","Eden Mills",7,hadepef@mailinator.net,No,No,1,1,1,1,1,1,1,1,1
